In bed start,In bed Finish,Minutes in bed,Minutes asleep,Time to fall sleep,Number of sleep periods,Sleep 1 start,Sleep 1 finish,Sleep 2 start,Sleep 2 finish,Sleep 3 start,Sleep 3 finish,Sleep 4 start,Sleep 4 finish,Sleep 5 start,Sleep 5 finish,Sleep 6 start,Sleep 6 finish,Sleep 7 start,Sleep 7 finish
17-Dec-2020 02:47,17-Dec-2020 19:45,1017.8,780.0,12.8,4,17-Dec-2020 03:00,17-Dec-2020 07:32,17-Dec-2020 07:45,17-Dec-2020 09:30,17-Dec-2020 09:36,17-Dec-2020 12:19,17-Dec-2020 15:45,17-Dec-2020 19:45,,,,,,
18-Dec-2020 04:27,18-Dec-2020 06:45,301.229327700535,282,0.0,1,18-Dec-2020 04:27,18-Dec-2020 06:42,,,,,,,,,,,,
19-Dec-2020 03:55,19-Dec-2020 11:45,469.3,465.0,4.3,1,19-Dec-2020 04:00,19-Dec-2020 11:45,,,,,,,,,,,,
20-Dec-2020 03:46,20-Dec-2020 12:20,513.883333333333,504.475295515855,8.40803781747818,2,20-Dec-2020 03:54,20-Dec-2020 06:42,20-Dec-2020 06:43,20-Dec-2020 12:20,,,,,,,,,,
21-Dec-2020 03:49,21-Dec-2020 10:55,426.016666666667,408.675654200713,10.4923208673795,3,21-Dec-2020 04:00,21-Dec-2020 04:05,21-Dec-2020 04:09,21-Dec-2020 07:03,21-Dec-2020 07:05,21-Dec-2020 10:54,,,,,,,,
22-Dec-2020 02:45,22-Dec-2020 12:05,560.568017500639,541.5,0.0,6,22-Dec-2020 02:45,22-Dec-2020 04:09,22-Dec-2020 04:13,22-Dec-2020 08:43,22-Dec-2020 08:45,22-Dec-2020 08:46,22-Dec-2020 08:49,22-Dec-2020 08:51,22-Dec-2020 08:54,22-Dec-2020 10:07,22-Dec-2020 10:12,22-Dec-2020 12:04,,
23-Dec-2020 05:07,23-Dec-2020 14:59,591.533333333333,415.936860932906,1.53333333333333,5,23-Dec-2020 05:09,23-Dec-2020 06:26,23-Dec-2020 06:28,23-Dec-2020 09:19,23-Dec-2020 09:22,23-Dec-2020 11:34,23-Dec-2020 11:37,23-Dec-2020 11:40,23-Dec-2020 14:27,23-Dec-2020 14:59,,,,
24-Dec-2020 03:30,24-Dec-2020 11:59,509.0,507.5,0.0,2,24-Dec-2020 03:30,24-Dec-2020 06:33,24-Dec-2020 06:34,24-Dec-2020 11:59,,,,,,,,,,
25-Dec-2020 04:13,25-Dec-2020 11:36,443.416666666667,437.0,1.5,2,25-Dec-2020 04:15,25-Dec-2020 08:37,25-Dec-2020 08:38,25-Dec-2020 11:33,,,,,,,,,,
26-Dec-2020 04:18,26-Dec-2020 12:15,840,838.5,0.0,2,26-Dec-2020 04:18,26-Dec-2020 09:42,26-Dec-2020 09:43,26-Dec-2020 12:15,,,,,,,,,,
27-Dec-2020 04:39,27-Dec-2020 11:55,436.158123167356,0.0,0.0,0,,,,,,,,,,,,,,
